page,index,filename,width,height
96,4,page_096_img_4.png,467,151
97,1,page_097_img_1.png,23,18
97,2,page_097_img_2.png,20,16
97,3,page_097_img_3.png,629,274
98,1,page_098_img_1.png,30,39
98,2,page_098_img_2.png,550,178
98,3,page_098_img_3.png,550,178
99,1,page_099_img_1.png,23,18
99,2,page_099_img_2.png,18,15
99,3,page_099_img_3.png,19,14
99,4,page_099_img_4.png,20,16
99,5,page_099_img_5.png,467,151
100,1,page_100_img_1.png,18,15
100,2,page_100_img_2.png,19,14
100,3,page_100_img_3.png,23,18
100,4,page_100_img_4.png,20,16
100,5,page_100_img_5.png,15,20
100,6,page_100_img_6.png,18,17
100,7,page_100_img_7.png,550,178
100,8,page_100_img_8.png,599,261
101,1,page_101_img_1.png,550,178
101,2,page_101_img_2.png,12,13
101,3,page_101_img_3.png,550,178
102,1,page_102_img_1.png,19,14
102,2,page_102_img_2.png,12,13
102,3,page_102_img_3.png,13,13
102,4,page_102_img_4.png,550,178
102,5,page_102_img_5.png,12,13
102,6,page_102_img_6.png,550,178
103,1,page_103_img_1.png,19,14
103,2,page_103_img_2.png,12,13
103,3,page_103_img_3.png,13,13
103,4,page_103_img_4.png,550,178
104,1,page_104_img_1.png,447,166
104,2,page_104_img_2.png,548,174
105,1,page_105_img_1.png,494,158
106,1,page_106_img_1.png,549,179
106,2,page_106_img_2.png,510,391
107,1,page_107_img_1.png,550,178
107,2,page_107_img_2.png,549,179
107,3,page_107_img_3.png,469,153
108,1,page_108_img_1.png,468,152
109,1,page_109_img_1.png,549,179
110,1,page_110_img_1.png,549,179
110,2,page_110_img_2.png,549,180
110,3,page_110_img_3.png,468,152
112,1,page_112_img_1.png,550,178
112,2,page_112_img_2.png,12,14
112,3,page_112_img_3.png,22,17
113,1,page_113_img_1.png,467,151
113,2,page_113_img_2.png,550,179
114,1,page_114_img_1.png,517,293
114,2,page_114_img_2.png,550,179
115,1,page_115_img_1.png,308,101
115,2,page_115_img_2.png,467,151
115,3,page_115_img_3.png,469,153
116,1,page_116_img_1.png,518,293
116,2,page_116_img_2.png,550,179
117,1,page_117_img_1.png,550,179
117,2,page_117_img_2.png,470,154
118,1,page_118_img_1.png,468,152
118,2,page_118_img_2.png,415,235
118,3,page_118_img_3.png,470,154
119,1,page_119_img_1.png,263,100
120,1,page_120_img_1.png,467,151
121,1,page_121_img_1.png,550,179
121,2,page_121_img_2.png,38,19
121,3,page_121_img_3.png,550,179
